[2020-06-09 12:07:09]~~ INFO   [run: run.py, 9]   ================================== ≤‚ ‘ø™ º ==================================
[2020-06-09 12:07:09]~~ DEBUG   [_new_conn: connectionpool.py, 205]   Starting new HTTP connection (1): sgi.wyqcd.cn:7777
[2020-06-09 12:07:09]~~ DEBUG   [_make_request: connectionpool.py, 393]   http://sgi.wyqcd.cn:7777 "POST /api/invoke?SID=CMSMgr-AddOrUpdateBlockInfo&entity=%7B%22Id%22%3A%22%22%2C%22AppId%22%3A%22EE458DB3-65D7-4710-B666-65CE6394AF5F%22%2C%22CityCode%22%3A%5B%7B%22name%22%3A%22%2A%22%7D%5D%2C%22CityReversed%22%3A%5B%7B%22name%22%3A%22%22%7D%5D%2C%22Title%22%3A%22lunbo%22%2C%22Subtitle%22%3A%22lunbo%22%2C%22Version%22%3A%220%22%2C%22VersionNum%22%3A%22%22%2C%22OperatorsID%22%3A%22fb247fb4-13d1-4c1b-acf8-27278b9bd0b1%22%2C%22OperatorsName%22%3A%22%E7%89%B9%E6%9D%A5%E7%94%B5%E6%96%B0%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%22%2C%22BeginTime%22%3A%222020-05-18+14%3A50%3A31%22%2C%22EndTime%22%3A%222020-05-31+14%3A50%3A31%22%2C%22Module%22%3A%224%22%2C%22AppAd%22%3A%5B%5D%2C%22BottomColor%22%3A%22%23998156%22%2C%22NewIMGURL%22%3A%22teldimage%2F107%2F5a907f9d84c1490889818165dcb71de8.jpg%22%2C%22CP_Ord%22%3A%2210%22%2C%22CP_ReleaseRange%22%3A%22android%22%2C%22CP_JumpType%22%3A%223%22%2C%22CP_Image%22%3A%22teldimage%2F107%2Ff4ba718f11094674a7e118c6b564b7d9.png%22%7D&token=A01eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjbGllbnRfaWQiOiJhYWRjNzM0My02NWJjLTQxOGUtODY1ZS1jN2MzMzIyZDBkYWQiLCJzZXNzaW9uX2lkIjoiODQ2YjU3NjNiNDU3NGE3YTgyNGQxZTE0Y2IxZjZjYjlSRFMxIiwidG9rZW5faWQiOiJkODY2ZjFlMDczNzU0MDQ4YjNmMjQwNzUxYjMyZmEyOSIsInJlZnJlc2h0b2tlbl9pZCI6IjRlM2VlZGQzMWVhYjQxYjY5NjAwZWFjMzkzZDcxMTdiIiwidmFsaWRhdGVfdHlwZSI6MSwic2NvcGUiOiIqIiwic291cmNlIjoiQSIsImNsaWVudF9pcCI6IjIyMy43OS4zNy44NCIsImV4cCI6MTU5MTc5NDU4NS4wLCJjcmVhdGVfZnJvbSI6Im1haW4iLCJyZHNfZmxhZyI6MX0.RuQ-19JOQdhCxiKheCCQyTxlvvY0WcKVtQD5GkksaqA HTTP/1.1" 200 38
[2020-06-09 12:07:10]~~ DEBUG   [query_db: db_execute.py, 12]   SELECT top 1 SC_ID from CMS_SolutionContent ORDER BY CREATETIME DESC
[2020-06-09 12:07:10]~~ DEBUG   [query_db: db_execute.py, 15]   ('4bd3cc84-28f0-442d-a82c-fd2a626c7fc5', )
[2020-06-09 12:07:10]~~ DEBUG   [test_AddOrUpdateBlockInfo: test_AddOrUpdateBlockInfo.py, 41]   ≤‚ ‘”√¿˝£∫test_AddOrUpdateBlockInfo
[2020-06-09 12:07:10]~~ DEBUG   [test_AddOrUpdateBlockInfo: test_AddOrUpdateBlockInfo.py, 42]   url£∫http://sgi.wyqcd.cn:7777/api/invoke?SID=CMSMgr-AddOrUpdateBlockInfo
[2020-06-09 12:07:10]~~ DEBUG   [test_AddOrUpdateBlockInfo: test_AddOrUpdateBlockInfo.py, 43]   «Î«Û≤Œ ˝£∫{"entity":'{"Id":"","AppId":"EE458DB3-65D7-4710-B666-65CE6394AF5F","CityCode":[{"name":"*"}],"CityReversed":[{"name":""}],"Title":"lunbo","Subtitle":"lunbo","Version":"0","VersionNum":"","OperatorsID":"fb247fb4-13d1-4c1b-acf8-27278b9bd0b1","OperatorsName":"Ãÿ¿¥µÁ–¬ƒ‹‘¥”–œﬁπ´Àæ","BeginTime":"2020-05-18 14:50:31","EndTime":"2020-05-31 14:50:31","Module":"4","AppAd":[],"BottomColor":"#998156","NewIMGURL":"teldimage/107/5a907f9d84c1490889818165dcb71de8.jpg","CP_Ord":"10","CP_ReleaseRange":"android","CP_JumpType":"3","CP_Image":"teldimage/107/f4ba718f11094674a7e118c6b564b7d9.png"}',"token":"A01eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjbGllbnRfaWQiOiJhYWRjNzM0My02NWJjLTQxOGUtODY1ZS1jN2MzMzIyZDBkYWQiLCJzZXNzaW9uX2lkIjoiODQ2YjU3NjNiNDU3NGE3YTgyNGQxZTE0Y2IxZjZjYjlSRFMxIiwidG9rZW5faWQiOiJkODY2ZjFlMDczNzU0MDQ4YjNmMjQwNzUxYjMyZmEyOSIsInJlZnJlc2h0b2tlbl9pZCI6IjRlM2VlZGQzMWVhYjQxYjY5NjAwZWFjMzkzZDcxMTdiIiwidmFsaWRhdGVfdHlwZSI6MSwic2NvcGUiOiIqIiwic291cmNlIjoiQSIsImNsaWVudF9pcCI6IjIyMy43OS4zNy44NCIsImV4cCI6MTU5MTc5NDU4NS4wLCJjcmVhdGVfZnJvbSI6Im1haW4iLCJyZHNfZmxhZyI6MX0.RuQ-19JOQdhCxiKheCCQyTxlvvY0WcKVtQD5GkksaqA"}
[2020-06-09 12:07:10]~~ DEBUG   [test_AddOrUpdateBlockInfo: test_AddOrUpdateBlockInfo.py, 44]   ∆⁄Õ˚Ω·π˚£∫('4bd3cc84-28f0-442d-a82c-fd2a626c7fc5', )
[2020-06-09 12:07:10]~~ DEBUG   [test_AddOrUpdateBlockInfo: test_AddOrUpdateBlockInfo.py, 45]    µº Ω·π˚£∫639b544f-310a-4116-88dc-e0f38a70a5c4
[2020-06-09 12:07:10]~~ DEBUG   [_new_conn: connectionpool.py, 205]   Starting new HTTP connection (1): sgi.wyqcd.cn:7777
